VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
1,1675097411000000,1675098054000000,0.0,1.0,1.0,N,170,229,2,9.3,5.0,0.5,0.0,0.0,1.0,15.8,2.5,0.0
2,1675096945000000,1675097442000000,1.0,1.21,1.0,N,161,233,1,10.0,2.5,0.5,3.3,0.0,1.0,19.8,2.5,0.0
2,1675097999000000,1675098201000000,1.0,0.64,1.0,N,107,170,1,5.8,2.5,0.5,2.46,0.0,1.0,14.76,2.5,0.0
2,1675097902000000,1675098213000000,3.0,1.01,1.0,N,142,48,1,7.9,2.5,0.5,2.88,0.0,1.0,17.28,2.5,0.0
1,1675097303000000,1675098403000000,1.0,6.2,1.0,N,231,233,1,27.5,5.0,0.5,6.8,0.0,1.0,40.8,2.5,0.0
2,1675097516000000,1675099597000000,1.0,19.92,1.0,N,132,185,2,75.8,2.5,0.5,0.0,6.55,1.0,87.6,0.0,1.25
2,1675094672000000,1675095315000000,2.0,1.56,1.0,N,170,107,1,11.4,2.5,0.5,3.58,0.0,1.0,21.48,2.5,0.0
1,1675097780000000,1675098407000000,2.0,1.8,1.0,N,142,238,1,12.1,5.0,0.5,1.86,0.0,1.0,20.46,2.5,0.0
2,1675094584000000,1675094979000000,1.0,0.74,1.0,N,170,164,1,7.9,0.0,0.5,2.38,0.0,1.0,14.28,2.5,0.0
1,1675096650000000,1675097751000000,1.0,4.0,1.0,N,141,234,1,21.9,5.0,0.5,5.65,0.0,1.0,34.05,2.5,0.0
1,1675097458000000,1675097825000000,1.0,0.9,1.0,N,161,237,1,7.9,5.0,0.5,3.6,0.0,1.0,18.0,2.5,0.0
2,1675094643000000,1675095179000000,1.0,1.62,1.0,N,151,236,1,11.4,2.5,0.5,0.0,0.0,1.0,17.9,2.5,0.0
2,1675095318000000,1675096178000000,1.0,1.47,1.0,N,236,237,1,14.2,2.5,0.5,4.14,0.0,1.0,24.84,2.5,0.0
2,1675097301000000,1675097654000000,2.0,0.51,1.0,N,141,237,1,6.5,2.5,0.5,1.0,0.0,1.0,14.0,2.5,0.0
2,1675096344000000,1675096663000000,1.0,0.53,1.0,N,107,234,1,6.5,2.5,0.5,1.0,0.0,1.0,14.0,2.5,0.0
2,1675096842000000,1675097307000000,1.0,1.27,1.0,N,234,68,1,9.3,2.5,0.5,3.16,0.0,1.0,18.96,2.5,0.0
1,1675095869000000,1675097615000000,1.0,6.3,1.0,N,161,13,2,31.0,5.0,0.5,0.0,0.0,1.0,37.5,2.5,0.0
2,1675094620000000,1675095754000000,1.0,2.75,1.0,N,161,144,1,18.4,2.5,0.5,6.22,0.0,1.0,31.12,2.5,0.0
2,1675096600000000,1675097435000000,1.0,1.97,1.0,N,107,148,1,14.2,2.5,0.5,5.17,0.0,1.0,25.87,2.5,0.0
2,1675097724000000,1675098344000000,2.0,1.24,1.0,N,79,125,1,10.7,2.5,0.5,2.06,0.0,1.0,19.26,2.5,0.0
2,1675094735000000,1675095304000000,1.0,1.03,1.0,N,262,43,1,10.0,2.5,0.5,3.3,0.0,1.0,19.8,2.5,0.0
2,1675096249000000,1675096602000000,1.0,0.69,1.0,N,162,162,1,7.2,2.5,0.5,2.74,0.0,1.0,16.44,2.5,0.0
2,1675096972000000,1675098620000000,1.0,7.45,1.0,N,141,261,1,35.2,2.5,0.5,8.34,0.0,1.0,50.04,2.5,0.0
2,1675096112000000,1675096730000000,1.0,1.42,1.0,N,141,43,1,11.4,2.5,0.5,2.68,0.0,1.0,20.58,2.5,0.0
2,1675097423000000,1675099707000000,2.0,19.73,2.0,N,132,236,1,70.0,5.0,0.5,17.11,6.55,1.0,103.91,2.5,1.25
1,1675096488000000,1675097271000000,1.0,1.6,1.0,N,48,170,2,12.1,5.0,0.5,0.0,0.0,1.0,18.6,2.5,0.0
2,1675094536000000,1675096837000000,4.0,17.95,3.0,N,142,1,1,88.8,2.5,0.0,22.41,19.75,1.0,134.46,0.0,0.0
1,1675096627000000,1675097143000000,1.0,1.2,1.0,N,43,239,1,10.0,5.0,0.5,3.3,0.0,1.0,19.8,2.5,0.0
1,1675097750000000,1675098296000000,1.0,1.8,1.0,N,142,238,1,11.4,5.0,0.5,3.55,0.0,1.0,21.45,2.5,0.0
2,1675097883000000,1675100458000000,1.0,18.45,2.0,N,264,148,1,70.0,5.0,0.5,15.0,6.55,1.0,100.55,2.5,0.0
2,1675095642000000,1675096347000000,1.0,1.97,1.0,N,233,79,2,12.8,2.5,0.5,0.0,0.0,1.0,19.3,2.5,0.0
2,1675097915000000,1675098364000000,1.0,0.62,1.0,N,141,229,2,8.6,2.5,0.5,0.0,0.0,1.0,15.1,2.5,0.0
2,1675095360000000,1675095900000000,1.0,1.13,1.0,N,164,161,2,9.3,2.5,0.5,0.0,0.0,1.0,15.8,2.5,0.0
2,1675096043000000,1675096702000000,1.0,2.16,1.0,N,161,236,1,12.8,2.5,0.5,3.86,0.0,1.0,23.16,2.5,0.0
1,1675096417000000,1675097041000000,1.0,1.6,1.0,N,161,90,1,10.7,5.0,0.5,3.44,0.0,1.0,20.64,2.5,0.0
2,1675094909000000,1675095566000000,1.0,1.66,1.0,N,237,143,1,12.1,0.0,0.5,3.22,0.0,1.0,19.32,2.5,0.0
2,1675097207000000,1675097977000000,1.0,1.43,1.0,N,90,107,1,12.8,2.5,0.5,2.0,0.0,1.0,21.3,2.5,0.0
1,1675095590000000,1675096087000000,1.0,1.1,1.0,N,164,246,1,9.3,5.0,0.5,2.0,0.0,1.0,17.8,2.5,0.0
1,1675097320000000,1675097808000000,1.0,1.3,1.0,N,246,186,1,10.0,5.0,0.5,0.0,0.0,1.0,16.5,2.5,0.0
1,1675094740000000,1675095944000000,1.0,2.9,1.0,N,234,236,1,17.7,5.0,0.5,3.0,0.0,1.0,27.2,2.5,0.0
1,1675096038000000,1675098270000000,1.0,6.4,1.0,N,236,231,1,31.7,5.0,0.5,2.0,0.0,1.0,40.2,2.5,0.0
2,1675096145000000,1675098089000000,1.0,9.52,1.0,N,138,229,1,44.3,7.5,0.5,12.72,6.55,1.0,76.32,2.5,1.25
2,1675094951000000,1675095220000000,1.0,0.78,1.0,N,230,162,2,6.5,2.5,0.5,0.0,0.0,1.0,13.0,2.5,0.0
1,1675094439000000,1675094757000000,3.0,0.8,1.0,N,239,142,1,7.2,5.0,0.5,2.7,0.0,1.0,16.4,2.5,0.0
1,1675095065000000,1675095712000000,1.0,1.9,1.0,N,142,246,1,11.4,5.0,0.5,3.58,0.0,1.0,21.48,2.5,0.0
1,1675097373000000,1675097874000000,1.0,1.2,1.0,N,186,170,1,8.6,5.0,0.5,3.0,0.0,1.0,18.1,2.5,0.0
2,1675096629000000,1675097722000000,2.0,2.97,1.0,N,234,13,1,19.1,2.5,0.5,5.12,0.0,1.0,30.72,2.5,0.0
2,1675094794000000,1675095202000000,1.0,1.07,1.0,N,237,236,1,8.6,2.5,0.5,3.02,0.0,1.0,18.12,2.5,0.0
2,1675097863000000,1675099404000000,1.0,2.99,1.0,N,162,75,1,23.3,2.5,0.5,1.0,0.0,1.0,30.8,2.5,0.0
2,1675097102000000,1675099819000000,1.0,20.09,2.0,N,132,141,1,70.0,5.0,0.5,10.0,6.55,1.0,96.8,2.5,1.25
1,1675096758000000,1675097575000000,1.0,1.7,1.0,N,162,236,2,12.8,5.0,0.5,0.0,0.0,1.0,19.3,2.5,0.0
2,1675094963000000,1675095829000000,2.0,1.29,1.0,N,229,163,1,13.5,2.5,0.5,2.0,0.0,1.0,22.0,2.5,0.0
2,1675095874000000,1675096687000000,1.0,2.07,1.0,N,90,211,1,14.2,2.5,0.5,5.17,0.0,1.0,25.87,2.5,0.0
2,1675096980000000,1675097802000000,1.0,1.92,1.0,N,211,88,1,14.2,2.5,0.5,3.1,0.0,1.0,23.8,2.5,0.0
1,1675094625000000,1675097777000000,3.0,16.2,2.0,N,233,132,1,70.0,7.5,0.5,17.1,6.55,1.0,102.65,2.5,0.0
2,1675096050000000,1675097421000000,1.0,2.3,1.0,N,161,263,2,19.8,2.5,0.5,0.0,0.0,1.0,26.3,2.5,0.0
2,1675097987000000,1675099172000000,1.0,2.74,1.0,N,236,234,1,19.1,2.5,0.5,2.0,0.0,1.0,27.6,2.5,0.0
1,1675096641000000,1675097218000000,0.0,1.4,1.0,N,234,249,1,10.7,5.0,0.5,2.0,0.0,1.0,19.2,2.5,0.0
2,1675097318000000,1675098153000000,1.0,2.15,1.0,N,264,237,1,14.9,2.5,0.5,4.28,0.0,1.0,25.68,2.5,0.0
2,1675095156000000,1675098371000000,2.0,11.3,1.0,N,132,188,1,60.4,2.5,0.5,1.0,0.0,1.0,66.65,0.0,1.25
1,1675096146000000,1675097144000000,1.0,2.2,1.0,N,186,211,1,16.3,5.0,0.5,6.8,0.0,1.0,29.6,2.5,0.0
2,1675095138000000,1675095485000000,1.0,1.04,1.0,N,158,234,1,7.9,2.5,0.5,2.88,0.0,1.0,17.28,2.5,0.0
2,1675094979000000,1675095370000000,1.0,1.59,1.0,N,43,236,1,9.3,2.5,0.5,1.0,0.0,1.0,16.8,2.5,0.0
2,1675095302000000,1675095957000000,1.0,2.31,1.0,N,48,249,2,12.8,2.5,0.5,0.0,0.0,1.0,19.3,2.5,0.0
2,1675097821000000,1675098324000000,1.0,1.02,1.0,N,161,162,1,9.3,2.5,0.5,3.16,0.0,1.0,18.96,2.5,0.0
2,1675097032000000,1675097277000000,1.0,0.7,1.0,N,239,238,1,6.5,2.5,0.5,1.95,0.0,1.0,14.95,2.5,0.0
2,1675097377000000,1675098207000000,1.0,3.54,1.0,N,238,246,1,18.4,2.5,0.5,2.5,0.0,1.0,27.4,2.5,0.0
2,1675094730000000,1675095174000000,1.0,0.0,1.0,N,264,264,2,7.9,2.5,0.5,0.0,0.0,1.0,14.4,2.5,0.0
2,1675095917000000,1675097360000000,1.0,0.0,1.0,N,264,264,1,19.8,2.5,0.5,5.26,0.0,1.0,31.56,2.5,0.0
1,1675096339000000,1675098197000000,1.0,9.3,1.0,N,239,153,2,40.1,5.0,0.5,0.0,3.0,1.0,49.6,2.5,0.0
2,1675094522000000,1675095162000000,1.0,1.3,1.0,Y,161,229,1,11.4,2.5,0.5,3.58,0.0,1.0,21.48,2.5,0.0
2,1675095932000000,1675098729000000,1.0,12.07,1.0,N,229,98,1,52.7,2.5,0.5,12.0,6.55,1.0,77.75,2.5,0.0
2,1675095576000000,1675096298000000,1.0,2.09,1.0,N,100,142,1,13.5,2.5,0.5,4.0,0.0,1.0,24.0,2.5,0.0
1,1675095212000000,1675096979000000,1.0,10.2,1.0,N,230,138,1,40.8,10.0,0.5,11.75,6.55,1.0,70.6,2.5,0.0
2,1675097142000000,1675097987000000,1.0,2.09,1.0,N,164,236,1,14.9,2.5,0.5,2.14,0.0,1.0,23.54,2.5,0.0
2,1675095182000000,1675095761000000,1.0,2.08,1.0,N,230,249,2,12.1,2.5,0.5,0.0,0.0,1.0,18.6,2.5,0.0
2,1675096653000000,1675097522000000,1.0,3.87,1.0,N,164,79,1,19.1,2.5,0.5,5.12,0.0,1.0,30.72,2.5,0.0
2,1675097947000000,1675099679000000,1.0,3.53,1.0,N,107,263,1,26.8,2.5,0.5,6.66,0.0,1.0,39.96,2.5,0.0
2,1675094514000000,1675094861000000,1.0,0.99,1.0,N,163,142,1,7.9,0.0,0.5,2.98,0.0,1.0,14.88,2.5,0.0
2,1675096594000000,1675097370000000,1.0,1.75,1.0,N,237,233,1,13.5,2.5,0.5,4.0,0.0,1.0,24.0,2.5,0.0
2,1675095374000000,1675096217000000,4.0,2.2,1.0,N,262,229,1,14.9,2.5,0.5,4.28,0.0,1.0,25.68,2.5,0.0
2,1675094913000000,1675095881000000,1.0,1.79,1.0,N,229,237,1,14.9,2.5,0.5,4.28,0.0,1.0,25.68,2.5,0.0
2,1675095941000000,1675096325000000,1.0,1.06,1.0,N,237,236,1,7.9,2.5,0.5,3.6,0.0,1.0,18.0,2.5,0.0
2,1675096604000000,1675096935000000,1.0,0.76,1.0,N,236,262,1,7.2,2.5,0.5,2.74,0.0,1.0,16.44,2.5,0.0
2,1675097671000000,1675098166000000,1.0,1.28,1.0,N,141,142,1,10.0,2.5,0.5,3.3,0.0,1.0,19.8,2.5,0.0
2,1675096330000000,1675096760000000,4.0,1.08,1.0,N,90,100,1,8.6,2.5,0.5,3.02,0.0,1.0,18.12,2.5,0.0
2,1675094642000000,1675096600000000,1.0,9.32,1.0,N,138,141,1,42.2,7.5,0.5,8.5,6.55,1.0,70.0,2.5,1.25
2,1675094772000000,1675095099000000,1.0,0.64,1.0,N,230,237,1,6.5,2.5,0.5,3.9,0.0,1.0,16.9,2.5,0.0
2,1675096441000000,1675097049000000,1.0,1.63,1.0,N,90,48,1,11.4,2.5,0.5,3.58,0.0,1.0,21.48,2.5,0.0
2,1675097411000000,1675098098000000,1.0,1.84,1.0,N,68,161,1,12.1,2.5,0.5,3.72,0.0,1.0,22.32,2.5,0.0
2,1675096073000000,1675096758000000,1.0,1.98,1.0,N,48,238,1,12.8,2.5,0.5,3.86,0.0,1.0,23.16,2.5,0.0
2,1675097362000000,1675097671000000,1.0,0.66,1.0,N,238,239,1,7.2,2.5,0.5,5.0,0.0,1.0,18.7,2.5,0.0
1,1675096037000000,1675098200000000,1.0,15.9,1.0,N,132,255,1,59.7,3.75,0.5,12.95,0.0,1.0,77.9,0.0,1.25
2,1675095422000000,1675098858000000,1.0,16.81,2.0,N,186,132,1,70.0,5.0,0.5,21.39,6.55,1.0,106.94,2.5,0.0
1,1675095240000000,1675096212000000,1.0,2.6,1.0,N,186,237,1,14.9,5.0,0.5,2.0,0.0,1.0,23.4,2.5,0.0
1,1675096598000000,1675096917000000,1.0,1.0,1.0,N,237,236,1,7.2,5.0,0.5,3.4,0.0,1.0,17.1,2.5,0.0
1,1675097006000000,1675097369000000,1.0,0.9,1.0,N,236,262,1,7.2,5.0,0.5,2.7,0.0,1.0,16.4,2.5,0.0
1,1675097789000000,1675098657000000,2.0,3.2,1.0,N,263,233,1,16.3,5.0,0.5,4.0,0.0,1.0,26.8,2.5,0.0
2,1675097633000000,1675099393000000,1.0,13.38,1.0,N,138,13,1,52.7,7.5,0.5,14.15,6.55,1.0,86.15,2.5,1.25
2,1675096113000000,1675096121000000,1.0,0.0,5.0,N,230,100,1,15.0,0.0,0.0,3.7,0.0,1.0,22.2,2.5,0.0
2,1675096763000000,1675097957000000,1.0,2.47,1.0,N,151,262,1,19.1,2.5,0.5,5.12,0.0,1.0,30.72,2.5,0.0
2,1675097361000000,1675099652000000,2.0,17.56,2.0,N,132,164,1,70.0,5.0,0.5,13.02,6.55,1.0,99.82,2.5,1.25
2,1675091238000000,1675091578000000,1.0,0.83,1.0,N,161,237,1,7.2,2.5,0.5,1.5,0.0,1.0,15.2,2.5,0.0
2,1675091966000000,1675092498000000,1.0,0.96,1.0,N,141,161,1,9.3,2.5,0.5,3.16,0.0,1.0,18.96,2.5,0.0
1,1675096639000000,1675096971000000,1.0,1.1,1.0,N,162,229,1,8.6,5.0,0.5,3.0,0.0,1.0,18.1,2.5,0.0
1,1675097879000000,1675098505000000,1.0,2.0,1.0,N,170,230,2,13.5,5.0,0.5,0.0,0.0,1.0,20.0,2.5,0.0
