VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
2,1675149752000000,1675150758000000,1.0,3.35,1.0,N,246,237,1,19.1,0.0,0.5,4.62,0.0,1.0,27.72,2.5,0.0
2,1675150904000000,1675151947000000,1.0,3.18,1.0,N,237,90,1,18.4,0.0,0.5,4.48,0.0,1.0,26.88,2.5,0.0
1,1675149283000000,1675149972000000,1.0,2.4,1.0,N,236,161,1,14.2,2.5,0.5,2.73,0.0,1.0,20.93,2.5,0.0
1,1675151224000000,1675152138000000,1.0,1.5,1.0,Y,237,236,1,14.2,2.5,0.5,0.0,0.0,1.0,18.2,2.5,0.0
1,1675151889000000,1675155188000000,1.0,14.0,1.0,N,138,261,1,58.3,8.75,0.5,15.02,6.55,1.0,90.12,2.5,1.25
2,1675148755000000,1675149178000000,1.0,2.23,1.0,N,42,151,2,10.7,0.0,0.5,0.0,0.0,1.0,12.2,0.0,0.0
2,1675150657000000,1675150965000000,1.0,1.17,1.0,N,239,143,1,7.9,0.0,0.5,1.78,0.0,1.0,13.68,2.5,0.0
2,1675150987000000,1675151437000000,1.0,1.82,1.0,N,143,246,1,10.7,0.0,0.5,1.0,0.0,1.0,15.7,2.5,0.0
2,1675151056000000,1675153125000000,1.0,8.78,1.0,N,138,137,1,39.4,5.0,0.5,10.99,6.55,1.0,67.19,2.5,1.25
1,1675149347000000,1675149876000000,1.0,1.6,1.0,N,113,100,1,9.3,2.5,0.5,1.33,0.0,1.0,14.63,2.5,0.0
1,1675150415000000,1675151057000000,1.0,1.2,1.0,N,186,137,2,9.3,2.5,0.5,0.0,0.0,1.0,13.3,2.5,0.0
1,1675151741000000,1675152413000000,1.0,1.8,1.0,N,186,161,1,11.4,2.5,0.5,4.6,0.0,1.0,20.0,2.5,0.0
2,1675148566000000,1675148911000000,5.0,1.13,1.0,N,143,230,2,7.9,0.0,0.5,0.0,0.0,1.0,11.9,2.5,0.0
2,1675150172000000,1675150527000000,6.0,1.39,1.0,N,43,161,1,8.6,0.0,0.5,1.89,0.0,1.0,14.49,2.5,0.0
1,1675149969000000,1675150253000000,1.0,0.6,1.0,N,137,162,1,5.8,2.5,0.5,2.45,0.0,1.0,12.25,2.5,0.0
1,1675150673000000,1675151963000000,1.0,2.8,1.0,N,100,238,2,17.7,2.5,0.5,0.0,0.0,1.0,21.7,2.5,0.0
1,1675150627000000,1675151151000000,1.0,1.3,1.0,N,238,236,1,9.3,2.5,0.5,2.65,0.0,1.0,15.95,2.5,0.0
